#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,is the graphical server.
,xorg-xwininfo,allows querying information about windows.
,xorg-xinit,starts the graphical server.
,xorg-fonts,is a font package.
,xdg-utils,are filetype utilities.
,libX11,is required for the compilation of some programs.
,libXft,is required for the compilation of some programs.
,gcr,is required for the compilation of some programs.
,fontconfig,is required for the compilation of some programs.
,arandr,is a UI for screen adjustment.
,calcurse,is a lightweight terminal-based calendar.
,xcompmgr,is for transparency and removing screen-tearing.
,xorg-xprop,is a tool for detecting window properties.
,dosfstools,allows your computer to access dos-like filesystems.
,libnotify,allows desktop notifications.
,dunst,is a suckless notification system.
,exfat-utils,allows management of FAT drives.
,sxiv,is a minimalist image viewer.
,xwallpaper,sets the wallpaper.
,ffmpeg,can record and splice video and audio on the command line.
,gnome-keyring,serves as the system keyring.
A,gtk-theme-arc-gruvbox-git,gives the dark GTK theme used in LARBS.
,neovim,a tidier vim with some useful features
,mpd,is a lightweight music daemon.
,mpc,is a terminal interface for mpd.
,mpv,is the patrician's choice video player.
,ncmpcpp,a ncurses interface for music with multiple formats and a powerful tag editor.
,newsboat,is a terminal RSS client.
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,ntfs-3g,allows accessing NTFS partitions.
,pulseaudio-alsa,is the audio system.
,pulsemixer,is an audio controler.
,pamixer,is a command-line audio interface.
A,sc-im,is an Excel-like terminal spreadsheet manager.
,socat,is a socket utility.
,tmux,is a terminal multiplexer and the dropdown window in LARBS.
,unclutter,hides an inactive mouse.
,unrar,extracts rar's.
,unzip,unzips zips.
,lynx,is a terminal browser.
,xcape,gives the special escape/super mappings of LARBS.
,xclip,allows for copying and pasting from the command line.
,xdotool,provides window action utilities on the command line.
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link.
,zathura,is a pdf viewer with vim-like bindings.
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.
,poppler,manipulates .pdfs and gives .pdf previews and other .pdf functions.
,mediainfo,shows audio and video information.
,atool,manages and gives information about archives.
,fzf,is a fuzzy finder tool.
,highlight,can highlight code output.
,xorg-xbacklight,enables changing screen brightness levels.
A,zsh-fast-syntax-highlighting,provides syntax highlighting in the shell.
,slock,"allows you to lock your computer, and quickly unlock with your password."
,alacritty,is a terminal emulator with GPU acceleration
,ansible,is a tool to automate machine configuration trough ssh
,base-devel,TODO
,bspwm,is a basic window manager
,cmake,is a tool to compile c files
,cuetools,parsers cue and toc files
,curl,TODO
,dmenu,TODO
,firefox,is a GUI web browser
,gcc,is a C compiler
,gdb,is a tool for binary debugging
,gimp,is a image editor
,transmission-gtk,is a torrent client with GUI
,transmission-remote-gtk,is a torrent client GUI to remote torrent server
,git,is a version control command line utility
,golang,is a go compiler
,imagemagick,is a command line image editor
,kazam,is a program to capture screenshots
,lshw,lists the hardware specifications
,lsof,lists open files in use
,ltrace,lists the inked libraries of a binary
,mp3info,gets the metadata from a mp3 file
,mpd,is a music player daemon
,mpv,is a video player
,ncmpcpp,is a client for mpd
,neomutt,is email client
,newsboat,is a rss feed client
,nmap,scans open ports on the network
,p7zip,uncompress files
,pcmanfm,is GUI file manager
,ripgrep,TODO
,rsync,TODO
,sox,TODO
,ss,TODO
,ssh,TODO
,sshpass,TODO
,sxhkd,TODO
,sxiv,TODO
,tmux,TODO
,unrar,TODO
,unzip,TODO
,vagrant,TODO
,valgrind,TODO
,vifm,TODO
,wget,TODO
,xclip,TODO
,udisk2,TODO
,zathura-cb,TODO
,zathura-ps,TODO
,zsh,TODO
,zsh-completions,TODO
A,cherrytree,is a hierarchycal note taking application
A,boxes,TODO
A,spaceship-prompt-git,TODO
A,brave-bin,TODO
A,polybar,TODO
A,zsh-you-should-use,TODO
A,monolith,downloads webpages and packs it into a single html
P,ueberzeg,allows image previewing on vifm
